"X","group","names","scores","logfoldchanges","pvals","pvals_adj","cluster","avg_log2FC","p_val_adj","gene"
0,0,"STRG.7087",30.916203,0.6189614,7.23503267531712e-210,4.70525182158767e-206,0,0.6189614,4.70525182158767e-206,"STRG.7087"
1,0,"STRG.6380",27.204996,0.46385467,5.668435444734e-163,1.84321325132907e-159,0,0.46385467,1.84321325132907e-159,"STRG.6380"
2,0,"arahy.Tifrunner.gnm2.ann2.Ah17g299000",26.612211,0.41818038,4.90283404183281e-156,1.39497885575248e-152,0,0.41818038,1.39497885575248e-152,"arahy.Tifrunner.gnm2.ann2.Ah17g299000"
3,0,"arahy.Tifrunner.gnm2.ann2.Ah02g197100",26.10108,0.4753057,3.54429610507065e-150,9.49120799336685e-147,0,0.4753057,9.49120799336685e-147,"arahy.Tifrunner.gnm2.ann2.Ah02g197100"
4,0,"arahy.Tifrunner.gnm2.ann2.Ah17g260500",25.445715,0.41009235,7.87430087826333e-143,1.88668249043189e-139,0,0.41009235,1.88668249043189e-139,"arahy.Tifrunner.gnm2.ann2.Ah17g260500"
5,0,"arahy.Tifrunner.gnm2.ann2.Ah12g145900",25.32799,0.67392546,1.57098974814761e-141,3.57588686473359e-138,0,0.67392546,3.57588686473359e-138,"arahy.Tifrunner.gnm2.ann2.Ah12g145900"
6,0,"arahy.Tifrunner.gnm2.ann2.Ah0g033200",24.201702,0.4025733,2.13478385647538e-129,3.8873560112874e-126,0,0.4025733,3.8873560112874e-126,"arahy.Tifrunner.gnm2.ann2.Ah0g033200"
7,0,"arahy.Tifrunner.gnm2.ann2.Ah16g226800",21.296844,0.4902758,1.21432758569039e-100,1.57945854317055e-97,0,0.4902758,1.57945854317055e-97,"arahy.Tifrunner.gnm2.ann2.Ah16g226800"
8,0,"arahy.Tifrunner.gnm2.ann2.Ah02g197000",20.84758,0.5322203,1.60331496874462e-96,1.97268407127378e-93,0,0.5322203,1.97268407127378e-93,"arahy.Tifrunner.gnm2.ann2.Ah02g197000"
9,0,"arahy.Tifrunner.gnm2.ann2.Ah19g300100",20.34045,0.34757328,5.64093781604327e-92,6.41995132843885e-89,0,0.34757328,6.41995132843885e-89,"arahy.Tifrunner.gnm2.ann2.Ah19g300100"
10,0,"arahy.Tifrunner.gnm2.ann2.Ah0g033100",20.034021,0.44710213,2.78250325700749e-89,3.08952873834169e-86,0,0.44710213,3.08952873834169e-86,"arahy.Tifrunner.gnm2.ann2.Ah0g033100"
11,0,"arahy.Tifrunner.gnm2.ann2.Ah0g045300",17.679367,0.50173426,6.04717078035873e-70,5.00529822918274e-67,0,0.50173426,5.00529822918274e-67,"arahy.Tifrunner.gnm2.ann2.Ah0g045300"
12,0,"arahy.Tifrunner.gnm2.ann2.Ah17g300600",17.47057,0.40804094,2.40084945200589e-68,1.95171911523421e-65,0,0.40804094,1.95171911523421e-65,"arahy.Tifrunner.gnm2.ann2.Ah17g300600"
13,0,"arahy.Tifrunner.gnm2.ann2.Ah12g106400",17.268202,0.4568502,8.16460064303072e-67,6.40836689091949e-64,0,0.4568502,6.40836689091949e-64,"arahy.Tifrunner.gnm2.ann2.Ah12g106400"
14,0,"arahy.Tifrunner.gnm2.ann2.Ah04g152300",16.58948,0.6340812,8.30358618427643e-62,5.8155762685077e-59,0,0.6340812,5.8155762685077e-59,"arahy.Tifrunner.gnm2.ann2.Ah04g152300"
15,0,"arahy.Tifrunner.gnm2.ann2.Ah01g246600",16.210955,0.4064716,4.21966325983392e-59,2.86710373493551e-56,0,0.4064716,2.86710373493551e-56,"arahy.Tifrunner.gnm2.ann2.Ah01g246600"
16,0,"arahy.Tifrunner.gnm2.ann2.Ah11g258300",16.109915,0.41841102,2.17322789346032e-58,1.45491215620423e-55,0,0.41841102,1.45491215620423e-55,"arahy.Tifrunner.gnm2.ann2.Ah11g258300"
17,0,"arahy.Tifrunner.gnm2.ann2.Ah17g259000",15.847956,0.4176767,1.45228958478218e-56,9.31183536022875e-54,0,0.4176767,9.31183536022875e-54,"arahy.Tifrunner.gnm2.ann2.Ah17g259000"
18,0,"arahy.Tifrunner.gnm2.ann2.Ah10g200900",15.82455,0.3779014,2.10699943595912e-56,1.33220892114727e-53,0,0.3779014,1.33220892114727e-53,"arahy.Tifrunner.gnm2.ann2.Ah10g200900"
19,0,"arahy.Tifrunner.gnm2.ann2.Ah17g302200",15.708131,0.31544325,1.33043892690157e-55,8.29683585044757e-53,0,0.31544325,8.29683585044757e-53,"arahy.Tifrunner.gnm2.ann2.Ah17g302200"
20,0,"arahy.Tifrunner.gnm2.ann2.Ah17g262200",15.295767,0.73612833,8.15939779561022e-53,4.82400552269298e-50,0,0.73612833,4.82400552269298e-50,"arahy.Tifrunner.gnm2.ann2.Ah17g262200"
21,0,"arahy.Tifrunner.gnm2.ann2.Ah17g302000",15.168331,0.4590549,5.73156499777972e-52,3.34517647383236e-49,0,0.4590549,3.34517647383236e-49,"arahy.Tifrunner.gnm2.ann2.Ah17g302000"
